"";"SchoolName2";"variable";"estimate";"Total";"Percent";"LeaveTime";"CumPer";"LeaveDT";"School.name";"Proposed.tier";"Start";"End";"Type";"Name";"Address";"State";"MailingAddress";"CurrentStartTime";"Total.Students";"Female";"%.Female";"Gender.X";"%.Gender.X";"Male";"%.Male";"American.Indian/.Alaskan.Native";"%.American.Indian/.Alaskan.Native";"Asian";"%.Asian";"Black/.African.American";"%.Black/.African.American";"Hispanic/.Latino.of.any.race(s)";"%.Hispanic/.Latino.of.any.race(s)";"Native.Hawaiian/.Other.Pacific.Islander";"%.Native.Hawaiian/.Other.Pacific.Islander";"Two.or.More.Races";"%.Two.or.More.Races";"White";"%.White";"English.Language.Learners";"%.English.Language.Learners";"Foster.Care";"%.Foster.Care";"Highly.Capable";"%.Highly.Capable";"Homeless";"%.Homeless";"Low-Income";"%.Low-Income";"Migrant";"%.Migrant";"Military.Parent";"%.Military.Parent";"Mobile";"%.Moble";"Section.504";"%.Section.504";"Students.with.Disabilities";"%.Students.with.Disabilities";"Non-English.Language.Learners";"%.Non-English.Language.Learners";"Non-Foster.Care";"%.Non-Foster.Care";"Non-Highly.Capable";"%.Non-Highly.Capable";"Non-Homeless";"%.Non-Homeless";"Non-Low.Income";"%.Non-Low.Income";"Non.Migrant";"%.Non.Migrant";"Non.Military.Parent";"%.Non.Military.Parent";"Non.Mobile";"%.Non.Mobile";"Non.Section.504";"%.Non.Section.504";"Students.without.Disabilities";"%.Students.without.Disabilities";"2020-21.FRPL.%.based.on.2019-20.as.of.Mar.31";"2020-21.Preliminary.FRPL.%.based.on.2019-20.data.as.of.Mar.6";"2020-21.Preliminary.FRPL.%.based.on.2019-20.data.as.of.Jan.29";"2019-20.FINAL.FRPL.%.based.on.2018-19.data";"2018-19.FINAL.FRPL.%.based.on.2017-18..data";"3.Year.Average.for.2020-21.Eligibility";"Preliminary.High.Poverty.Eligibility.for.SY.2020-21";"Title.I.School.Wide";"Title1";"ProposedStart";"TimeShift";"ADR_LGT";"ADR_LTT";"GEOID";"median_hhi";"HHI_group";"NeedToLeave";"HighPoverty";"FRPL"
"1";"Adams Elementary School";"Go2Work_0700";1558;18912;0,0823815566835871;7H 0M 0S;0,190143824027073;2022-04-26 07:00:00;"Adams​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:40:00;-75;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:10:00;"No";0,1206
"2";"Aki Kurose Middle School";"Go2Work_0800";4041;34165;0,118278940436119;8H 0M 0S;0,525069515586126;2022-04-26 08:00:00;"Aki Kurose​";2;"8:30 a.m.";"3:20 p.m.";"Middle School";"Aki Kurose Middle School";"3928 S Graham St.";"Seattle, WA 98118";"3928 S Graham St.,Seattle, WA 98118";2022-04-26 08:55:00;718;340;0,4735376045;2;0,00278551532;376;0,5236768802;4;0,005571030641;192;0,2674094708;229;0,3189415042;123;0,1713091922;10;0,0139275766;71;0,09888579387;89;0,1239554318;183;0,2548746518;0;0;15;0,0208913649;34;0,04735376045;520;0,7242339833;0;0;0;0;27;0,03760445682;4;0,005571030641;123;6,59523126e-05;535;0,7451253482;714;0,9944289694;703;0,9791086351;684;0,9526462396;198;0,2757660167;718;1;718;1;691;0,9623955432;714;0,9944289694;595;0,8286908078;0,7184;0,7184;0,7184;0,747;0,769343065693431;0,7449;"Yes";"School-wide";"School-wide";2022-04-26 08:30:00;-25;-122,28198;47,54632;"53033010301";88289;"50-100K";2022-04-26 08:00:00;"Yes";0,7449
"3";"Alan T. Sugiyama High School";"Go2Work_0800";2548;24173;0,105406858892152;8H 0M 0S;0,519091548421793;2022-04-26 08:00:00;"Sugiyama​";2;"8:30 a.m.";"3:20 p.m.";"High School";"Alan T. Sugiyama High School";"8601 Rainier Ave. S";"Seattle, WA 98118";"8601 Rainier Ave. S,Seattle, WA 98118";2022-04-26 08:45:00;25;17;0,68;0;0;8;0,32;0;0;6;0,24;4;0,16;11;0,44;1;0,04;1;0,04;2;0,08;8;0,32;0;0;0;0;3;0,12;20;0,8;0;0;0;0;3;0,12;0;0;4;0,0048;17;0,68;25;1;25;1;22;0,88;5;0,2;25;1;25;1;22;0,88;25;1;21;0,84;0,7059;0,7059;0,7059;0,9206;0,868852459016393;0,8318;"Yes";"School-wide";"School-wide";2022-04-26 08:30:00;-15;-122,27091;47,52567;"53033011801";85729;"50-100K";2022-04-26 08:00:00;"Yes";0,8318
"4";"Alki Elementary School";"Go2Work_0900";517;9172;0,056367204535543;9H 0M 0S;0,818578281726995;2022-04-26 09:00:00;"Alki​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Alki Elementary";"3010 59th Ave. SW";"Seattle, WA 98116";"3010 59th Ave. SW,Seattle, WA 98116";2022-04-26 07:55:00;314;158;0,5031847134;0;0;156;0,4968152866;0;0;14;0,04458598726;7;0,02229299363;28;0,08917197452;0;0;47;0,1496815287;218;0,6942675159;12;0,03821656051;0;0;9;0,02866242038;5;0,01592356688;38;0,1210191083;0;0;6;0,01910828025;13;0,04140127389;0;0;47;5,071199643e-05;302;0,9617834395;313;0,9968152866;305;0,9713375796;309;0,9840764331;276;0,8789808917;314;1;308;0,9808917197;301;0,9585987261;314;1;267;0,8503184713;0,1003;0,1003;0,1003;0,1386;0,176943699731903;0,1386;"No";NA;"No";2022-04-26 09:30:00;95;-122,40783;47,57714;"53033009701";131203,916666667;"100-150K";2022-04-26 09:00:00;"No";0,1386
"5";"Arbor Heights Elementary School";"Go2Work_0700";1302;9649;0,134936262825163;7H 0M 0S;0,361902787853664;2022-04-26 07:00:00;"Arbor Heights​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Arbor Heights Elementary";"3701 SW 104th St.";"Seattle, WA 98146";"3701 SW 104th St.,Seattle, WA 98146";2022-04-26 07:55:00;529;256;0,4839319471;1;0,001890359168;272;0,5141776938;1;0,001890359168;30;0,05671077505;17;0,03213610586;78;0,1474480151;2;0,003780718336;65;0,1228733459;336;0,6351606805;33;0,06238185255;0;0;12;0,02268431002;1;0,001890359168;95;0,179584121;0;0;1;0,001890359168;8;0,01512287335;4;0,007561436673;88;3,573457785e-06;496;0,9376181474;528;0,9981096408;517;0,97731569;528;0,9981096408;434;0,820415879;529;1;528;0,9981096408;521;0,9848771267;525;0,9924385633;441;0,8336483932;0,1879;0,1883;0,1883;0,2018;0,231968810916179;0,2072;"No";NA;"No";2022-04-26 07:40:00;-15;-122,37851;47,50965;"53033012000";109672,466666667;"100-150K";2022-04-26 07:10:00;"No";0,2072
"6";"B F Day Elementary School";"Go2Work_0700";1772;25505;0,0694765732209371;7H 0M 0S;0,141305626347775;2022-04-26 07:00:00;"BF Day​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Benjamin Franklin Day Elementary";"3921 Linden Ave. N";"Seattle, WA 98103";"3921 Linden Ave. N,Seattle, WA 98103";2022-04-26 07:55:00;406;194;0,4778325123;2;0,004926108374;210;0,5172413793;0;0;31;0,0763546798;27;0,06650246305;34;0,08374384236;1;0,002463054187;67;0,1650246305;246;0,60591133;43;0,10591133;0;0;12;0,02955665025;8;0,0197044335;75;0,184729064;0;0;1;0,002463054187;12;0,02955665025;3;0,007389162562;57;4,853308743e-05;363;0,89408867;405;0,9975369458;394;0,9704433498;398;0,9802955665;331;0,815270936;406;1;405;0,9975369458;394;0,9704433498;403;0,9926108374;349;0,8596059113;0,1417;0,1417;0,1417;0,1763;0,222614840989399;0,1802;"No";NA;"No";2022-04-26 07:40:00;-15;-122,34914;47,65494;"53033004902";111238,71875;"100-150K";2022-04-26 07:10:00;"No";0,1802
"7";"Bailey Gatzert Elementary School";"Go2Work_0900";1261;12097;0,104240720839878;9H 0M 0S;0,688435149210548;2022-04-26 09:00:00;"Gatzert​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Bailey Gatzert Elementary";"1301 E Yesler Way";"Seattle, WA 98122";"1301 E Yesler Way,Seattle, WA 98122";2022-04-26 07:55:00;320;153;0,478125;0;0;167;0,521875;3;0,009375;22;0,06875;191;0,596875;42;0,13125;1;0,003125;28;0,0875;33;0,103125;113;0,353125;0;0;4;0,0125;52;0,1625;250;0,78125;0;0;1;0,003125;21;0,065625;0;0;53;0,0005078125;207;0,646875;319;0,996875;316;0,9875;268;0,8375;70;0,21875;320;1;319;0,996875;299;0,934375;320;1;267;0,834375;0,7508;0,7508;0,7508;0,7599;0,792253521126761;0,7677;"Yes";"School-wide";"School-wide";2022-04-26 09:30:00;95;-122,31561;47,60115;"53033009000";69187,3125;"50-100K";2022-04-26 09:00:00;"Yes";0,7677
"8";"Ballard High School";"Go2Work_0800";7437;50042;0,148615163262859;8H 0M 0S;0,507593621358059;2022-04-26 08:00:00;"Ballard ​";2;"8:30 a.m.";"3:20 p.m.";"High School";"Ballard High School";"1418 NW 65th St.";"Seattle, WA 98117";"1418 NW 65th St.,Seattle, WA 98117";2022-04-26 08:45:00;1683;785;0,4664289958;21;0,01247771836;877;0,5210932858;6;0,003565062389;83;0,04931669638;47;0,02792632204;138;0,08199643494;6;0,003565062389;176;0,1045751634;1227;0,7290552585;36;0,02139037433;0;0;189;0,1122994652;11;0,006535947712;188;0,1117052882;0;0;4;0,002376708259;48;0,02852049911;124;0,07367795603;221;3,883510227e-06;1647;0,9786096257;1681;0,9988116459;1494;0,8877005348;1672;0,9934640523;1495;0,8882947118;1683;1;1679;0,9976232917;1635;0,9714795009;1559;0,926322044;1462;0,8686868687;0,0846;0,0846;0,0846;0,0986;0,113871635610766;0,099;"No";NA;"No";2022-04-26 08:30:00;-15;-122,37544;47,67671;"53033003302";123107,106060606;"100-150K";2022-04-26 08:00:00;"No";0,099
"9";"Beacon Hill International School";"Go2Work_0700";808;10289;0,0785304694333755;7H 0M 0S;0,211682379239965;2022-04-26 07:00:00;"Beacon Hill​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Beacon Hill International Elementary";"2025 14th Ave. S";"Seattle, WA 98144";"2025 14th Ave. S,Seattle, WA 98144";2022-04-26 07:55:00;326;157;0,481595092;1;0,003067484663;168;0,5153374233;1;0,003067484663;98;0,3006134969;17;0,05214723926;109;0,3343558282;0;0;43;0,1319018405;58;0,1779141104;146;0,4478527607;0;0;19;0,05828220859;11;0,03374233129;168;0,5153374233;0;0;1;0,003067484663;1;0,003067484663;0;0;36;0,0001035040837;180;0,5521472393;326;1;307;0,9417177914;315;0,9662576687;158;0,4846625767;326;1;325;0,9969325153;325;0,9969325153;326;1;290;0,8895705521;0,4904;0,4904;0,4904;0,5182;0,552884615384615;0,5205;"Yes";"School-wide";"School-wide";2022-04-26 07:40:00;-15;-122,31533;47,58508;"53033009400";74022,3333333333;"50-100K";2022-04-26 07:10:00;"Yes";0,5205
"10";"Broadview-Thomson K-8 School";"Go2Work_0900";835;10825;0,0771362586605081;9H 0M 0S;0,74364896073903;2022-04-26 09:00:00;"Broadview Thomson​";3;"9:30 a.m.";"4 p.m.";"K-8";"Broadview-Thomson K-8";"13052 Greenwood Ave. N";"Seattle, WA 98133";"13052 Greenwood Ave. N,Seattle, WA 98133";2022-04-26 07:55:00;562;285;0,5071174377;3;0,005338078292;274;0,487544484;8;0,01423487544;40;0,07117437722;152;0,2704626335;129;0,2295373665;1;0,001779359431;73;0,1298932384;159;0,2829181495;133;0,2366548043;0;0;21;0,03736654804;6;0,01067615658;355;0,6316725979;3;0,005338078292;1;0,001779359431;11;0,01957295374;6;0,01067615658;105;1,89967199e-05;429;0,7633451957;561;0,9982206406;541;0,962633452;556;0,9893238434;207;0,3683274021;559;0,9946619217;561;0,9982206406;551;0,9804270463;556;0,9893238434;457;0,8131672598;0,5614;0,5614;0,5614;0,5478;0,590225563909774;0,5665;"Yes";"School-wide";"School-wide";2022-04-26 09:30:00;95;-122,35434;47,72468;"53033000403";86954,9375;"50-100K";2022-04-26 09:00:00;"Yes";0,5665
"11";"Bryant Elementary School";"Go2Work_0900";1590;14069;0,113014428886204;9H 0M 0S;0,749164830478357;2022-04-26 09:00:00;"Bryant​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Bryant Elementary";"3311 NE 60th St.";"Seattle, WA 98115";"3311 NE 60th St.,Seattle, WA 98115";2022-04-26 07:55:00;450;208;0,4622222222;1;0,002222222222;241;0,5355555556;0;0;61;0,1355555556;3;0,006666666667;29;0,06444444444;0;0;64;0,1422222222;293;0,6511111111;24;0,05333333333;0;0;43;0,09555555556;0;0;24;0,05333333333;0;0;4;0,008888888889;2;0,004444444444;1;0,002222222222;26;0;426;0,9466666667;450;1;407;0,9044444444;450;1;426;0,9466666667;450;1;446;0,9911111111;448;0,9955555556;449;0,9977777778;424;0,9422222222;0,0447;0,0447;0,0447;0,0377;0,041025641025641;0,0411;"No";NA;"No";2022-04-26 09:30:00;95;-122,292;47,67152;"53033004202";128604,7;"100-150K";2022-04-26 09:00:00;"No";0,0411
"12";"Cascadia Elementary";"Go2Work_0700";4956;50484;0,0981697171381032;7H 0M 0S;0,227993027493859;2022-04-26 07:00:00;"Cascadia​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Cascadia Elementary";"1700 N 90th St.";"Seattle, WA 98103";"1700 N 90th St.,Seattle, WA 98103";2022-04-26 07:55:00;498;231;0,4638554217;0;0;267;0,5361445783;0;0;91;0,1827309237;25;0,05020080321;45;0,09036144578;0;0;99;0,1987951807;238;0,4779116466;11;0,02208835341;0;0;475;0,953815261;0;0;33;0,06626506024;0;0;2;0,004016064257;7;0,0140562249;5;0,01004016064;47;0;487;0,9779116466;498;1;23;0,04618473896;498;1;465;0,9337349398;498;1;496;0,9959839357;491;0,9859437751;493;0,9899598394;451;0,90562249;0,0277;0,0277;0,0277;0,0254;0,0380952380952381;0,0304;"No";NA;"No";2022-04-26 07:40:00;-15;-122,33729;47,69494;"53033001800";105404,015151515;"100-150K";2022-04-26 07:10:00;"No";0,0304
"13";"Catharine Blaine K-8 School";"Go2Work_0900";274;3640;0,0752747252747253;9H 0M 0S;0,812362637362637;2022-04-26 09:00:00;"Catharine Blaine​";3;"9:30 a.m.";"4 p.m.";"K-8";"Catharine Blaine K-8";"2550 34th Ave. W";"Seattle, WA 98199";"2550 34th Ave. W,Seattle, WA 98199";2022-04-26 08:55:00;466;215;0,4613733906;1;0,002145922747;250;0,5364806867;1;0,002145922747;35;0,07510729614;7;0,01502145923;38;0,08154506438;0;0;54;0,1158798283;331;0,7103004292;19;0,04077253219;0;0;18;0,03862660944;0;0;26;0,05579399142;0;0;1;0,002145922747;9;0,01931330472;8;0,01716738197;59;0;447;0,9592274678;466;1;448;0,9613733906;466;1;440;0,9442060086;466;1;465;0,9978540773;457;0,9806866953;458;0,982832618;407;0,8733905579;0,0556;0,0556;0,0556;0,0685;0,0652173913043478;0,0631;"No";NA;"No";2022-04-26 09:30:00;35;-122,40039;47,64278;"53033005700";170222,285714286;">150K";2022-04-26 09:00:00;"No";0,0631
"14";"Cedar Park Elementary School";"Go2Work_0700";2240;22320;0,100358422939068;7H 0M 0S;0,241532258064516;2022-04-26 07:00:00;"Cedar Park​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Cedar Park Elementary";"3737 NE 135th St.";"Seattle, WA 98125";"3737 NE 135th St.,Seattle, WA 98125";2022-04-26 07:55:00;224;121;0,5401785714;2;0,008928571429;101;0,4508928571;0;0;32;0,1428571429;16;0,07142857143;20;0,08928571429;0;0;37;0,1651785714;119;0,53125;19;0,08482142857;0;0;12;0,05357142857;3;0,01339285714;48;0,2142857143;0;0;1;0,004464285714;4;0,01785714286;0;0;13;5,978954082e-05;205;0,9151785714;224;1;212;0,9464285714;221;0,9866071429;176;0,7857142857;224;1;223;0,9955357143;220;0,9821428571;224;1;211;0,9419642857;0,1611;0,1611;0,1611;0,1754;0,127272727272727;0,1546;"No";NA;"No";2022-04-26 07:40:00;-15;-122,28747;47,72606;"53033000102";99752,3333333333;"50-100K";2022-04-26 07:10:00;"No";0,1546
"15";"Chief Sealth International High School";"Go2Work_0800";4018;32903;0,122116524329089;8H 0M 0S;0,591222684861563;2022-04-26 08:00:00;"Chief Sealth ​";2;"8:30 a.m.";"3:20 p.m.";"High School";"Chief Sealth International High School";"2600 SW Thistle St.";"Seattle, WA 98126";"2600 SW Thistle St.,Seattle, WA 98126";2022-04-26 08:55:00;1204;549;0,4559800664;11;0,009136212625;644;0,5348837209;11;0,009136212625;191;0,1586378738;277;0,2300664452;350;0,2906976744;12;0,009966777409;104;0,08637873754;259;0,2151162791;219;0,1818936877;0;0;21;0,01744186047;27;0,02242524917;806;0,6694352159;1;0,0008305647841;3;0,002491694352;52;0,04318936877;18;0,01495016611;242;1,862562223e-05;985;0,8181063123;1195;0,9925249169;1183;0,9825581395;1177;0,9775747508;398;0,3305647841;1203;0,9991694352;1201;0,9975083056;1152;0,9568106312;1186;0,9850498339;962;0,7990033223;0,6138;0,6138;0,6143;0,6265;0,634005763688761;0,6248;"Yes";NA;"No";2022-04-26 08:30:00;-25;-122,36619;47,52889;"53033011401";88389,7291666667;"50-100K";2022-04-26 08:00:00;"Yes";0,6248
"16";"Cleveland High School STEM";"Go2Work_0800";3300;27099;0,121775711280859;8H 0M 0S;0,509280785268829;2022-04-26 08:00:00;"Cleveland​";2;"8:30 a.m.";"3:20 p.m.";"High School";"Cleveland High School";"5511 15th Ave. S";"Seattle, WA 98108";"5511 15th Ave. S,Seattle, WA 98108";2022-04-26 08:45:00;908;411;0,4526431718;2;0,002202643172;495;0,545154185;4;0,004405286344;401;0,4416299559;212;0,2334801762;105;0,1156387665;2;0,002202643172;82;0,09030837004;102;0,1123348018;80;0,08810572687;0;0;39;0,04295154185;21;0,0231277533;519;0,5715859031;0;0;5;0,00550660793;5;0,00550660793;33;0,03634361233;79;2,547109395e-05;828;0,9118942731;907;0,9988986784;869;0,9570484581;887;0,9768722467;389;0,4284140969;908;1;903;0,9944933921;903;0,9944933921;875;0,9636563877;829;0,9129955947;0,5415;0,5415;0,5415;0,5557;0,598163030998852;0,5651;"Yes";NA;"No";2022-04-26 08:30:00;-15;-122,31391;47,5523;"53033010402";77810,325;"50-100K";2022-04-26 08:00:00;"Yes";0,5651
"17";"Concord International School";"Go2Work_0700";1004;9404;0,106763079540621;7H 0M 0S;0,349319438536793;2022-04-26 07:00:00;"Concord​";1;"7:40 a.m.";"2 p.m.";"Elementary School";"Concord International Elementary";"723 S. Concord St.";"Seattle, WA 98108";"723 S. Concord St.,Seattle, WA 98108";2022-04-26 08:55:00;315;165;0,5238095238;1;0,003174603175;149;0,473015873;2;0,006349206349;40;0,126984127;40;0,126984127;155;0,4920634921;6;0,01904761905;25;0,07936507937;47;0,1492063492;146;0,4634920635;0;0;5;0,01587301587;33;0,1047619048;216;0,6857142857;0;0;2;0,006349206349;13;0,04126984127;0;0;38;0,0003325774754;169;0,5365079365;315;1;310;0,9841269841;282;0,8952380952;99;0,3142857143;315;1;313;0,9936507937;302;0,9587301587;315;1;277;0,8793650794;0,6677;0,6677;0,6677;0,7167;0,769452449567723;0,718;"Yes";"School-wide";"School-wide";2022-04-26 07:40:00;-75;-122,324317;47,523545;"53033011200";69304,6666666667;"50-100K";2022-04-26 07:10:00;"Yes";0,718
"18";"Daniel Bagley Elementary School";"Go2Work_0900";1159;12537;0,0924463587780171;9H 0M 0S;0,775225333014278;2022-04-26 09:00:00;"Daniel Bagley​";3;"9:30 a.m.";"4 p.m.";"Elementary School";"Daniel Bagley Elementary";"7821 Stone Ave. N";"Seattle, WA 98103";"7821 Stone Ave. N,Seattle, WA 98103";2022-04-26 07:55:00;322;153;0,4751552795;0;0;169;0,5248447205;0;0;26;0,08074534161;20;0,06211180124;36;0,1118012422;1;0,003105590062;50;0,1552795031;189;0,5869565217;28;0,08695652174;0;0;14;0,04347826087;6;0,01863354037;56;0,1739130435;0;0;1;0,003105590062;8;0,0248447205;4;0,01242236025;58;5,78681378e-05;294;0,9130434783;322;1;308;0,9565217391;316;0,9813664596;266;0,8260869565;322;1;321;0,9968944099;314;0,9751552795;318;0,9875776398;264;0,8198757764;0,1362;0,1362;0,1362;0,1067;0,117647058823529;0,1202;"No";NA;"No";2022-04-26 09:30:00;95;-122,34244;47,68626;"53033002700";118141,785714286;"100-150K";2022-04-26 09:00:00;"No";0,1202
